horizon,feature,discovery_status,mean_net_proxy,median_net_proxy,ci_lower_mean,win_rate,top1_share,top3_share,coverage,all_gates_pass
30m,liq_cliff_flag,FAIL,-0.002931,-0.005853,-0.014637,0.4118,0.0029,0.0087,0.7729,False
5m,rv_5m,FAIL,-0.00297,-0.005158,-0.015147,0.1297,0.0237,0.0712,0.7706,False
15m,impact_sell_pct,FAIL,-0.003069,-0.005165,-0.017364,0.2457,0.0141,0.0422,1.0,False
5m,breadth_negative_pct,FAIL,-0.003074,-0.005135,-0.011207,0.0976,0.0349,0.1046,0.9858,False
15m,impact_buy_pct,FAIL,-0.003165,-0.005165,-0.017847,0.2439,0.0141,0.0423,1.0,False
5m,vol_h1,FAIL,-0.003213,-0.005033,-0.005623,0.0925,0.0231,0.0694,1.0,False
15m,buys_m5_snap,FAIL,-0.003307,-0.005062,-0.005754,0.1354,0.0214,0.0641,1.0,False
4h,liq_cliff_flag,FAIL,-0.003444,-0.011095,-0.02751,0.409,0.0055,0.0165,0.7729,False
5m,buy_sell_ratio_m5,FAIL,-0.003498,-0.005158,-0.01247,0.1045,0.038,0.1141,0.6883,False
5m,buy_count_ratio_m5,FAIL,-0.003498,-0.005158,-0.01247,0.1045,0.038,0.1141,0.6883,False
15m,breadth_negative_pct,FAIL,-0.003587,-0.005148,-0.017233,0.2379,0.016,0.048,0.9858,False
5m,round_trip_pct,FAIL,-0.003702,-0.005166,-0.011988,0.1121,0.021,0.0631,1.0,False
30m,pool_dispersion_r_m5,FAIL,-0.003719,-0.005,-0.021349,0.3327,0.0127,0.038,0.9858,False
15m,pool_size_with_micro,FAIL,-0.003775,-0.005132,-0.012876,0.1727,0.0219,0.0658,1.0,False
5m,buy_count_ratio_m5_snap,FAIL,-0.003876,-0.005151,-0.015021,0.1252,0.0192,0.0577,0.9049,False
5m,impact_buy_pct,FAIL,-0.003887,-0.005168,-0.012487,0.1119,0.022,0.0661,1.0,False
4h,rv_5m,FAIL,-0.00389,-0.009671,-0.028189,0.371,0.0376,0.1129,0.7706,False
5m,liquidity_usd,FAIL,-0.003893,-0.005166,-0.012519,0.1117,0.0212,0.0635,1.0,False
15m,liquidity_usd,FAIL,-0.003951,-0.005164,-0.018339,0.2408,0.0145,0.0435,1.0,False
5m,impact_sell_pct,FAIL,-0.003979,-0.005167,-0.012404,0.1113,0.0215,0.0645,1.0,False
15m,round_trip_pct,FAIL,-0.004047,-0.005165,-0.018126,0.2391,0.0142,0.0426,1.0,False
15m,buy_count_ratio_m5_snap,FAIL,-0.004063,-0.005158,-0.019005,0.2233,0.0145,0.0434,0.9049,False
5m,median_pool_r_m5,FAIL,-0.004072,-0.005111,-0.012504,0.1542,0.0173,0.0518,0.9858,False
15m,impact_asymmetry_pct,FAIL,-0.004113,-0.005136,-0.008833,0.1907,0.004,0.012,1.0,False
5m,pool_size_with_micro,FAIL,-0.004363,-0.005142,-0.01082,0.1313,0.0221,0.0664,1.0,False
5m,impact_asymmetry_pct,FAIL,-0.004557,-0.005121,-0.007449,0.1017,0.005,0.0151,1.0,False
15m,sells_m5_snap,FAIL,-0.004666,-0.005146,-0.00677,0.1339,0.0168,0.0503,1.0,False
5m,vol_h24,FAIL,-0.004739,-0.005158,-0.011814,0.1082,0.0187,0.0562,1.0,False
5m,buys_m5_snap,FAIL,-0.004862,-0.005011,-0.00604,0.0773,0.0125,0.0374,1.0,False
15m,liq_cliff_flag,FAIL,-0.004924,-0.005165,-0.012053,0.2138,0.004,0.012,0.7729,False
5m,sells_h1,FAIL,-0.005127,-0.005154,-0.019067,0.1201,0.0222,0.0665,0.7729,False
5m,buys_h1,FAIL,-0.005147,-0.00516,-0.022564,0.1096,0.0222,0.0665,0.7729,False
5m,sells_m5_snap,FAIL,-0.00522,-0.005012,-0.006326,0.0674,0.0137,0.0412,1.0,False
5m,liq_cliff_flag,FAIL,-0.005912,-0.005149,-0.010544,0.113,0.0055,0.0166,0.7729,False
5m,liq_change_pct,FAIL,-0.006447,-0.005161,-0.021787,0.1122,0.0347,0.1042,0.7706,False
4h,pool_dispersion_r_m5,FAIL,-0.007464,-0.007235,-0.043129,0.4215,0.0233,0.0699,0.9858,False
4h,breadth_positive_pct,FAIL,-0.009518,-0.009657,-0.045983,0.3817,0.0259,0.0777,0.9858,False
4h,median_pool_r_m5,FAIL,-0.011024,-0.008423,-0.047124,0.406,0.0238,0.0714,0.9858,False
4h,jup_vs_cpamm_diff_pct,FAIL,-0.011049,-0.040151,-0.068664,0.4045,0.0263,0.0789,0.7735,False
4h,buys_m5_snap,FAIL,-0.024323,-0.01152,-0.06058,0.391,0.0165,0.0496,1.0,False
4h,impact_asymmetry_pct,FAIL,-0.02681,-0.008517,-0.04634,0.3691,0.0093,0.0278,1.0,False
4h,r_m5_micro,FAIL,-0.029741,-0.068004,-0.10711,0.3873,0.0234,0.0702,0.7729,False
4h,vol_h24,FAIL,-0.037826,-0.011314,-0.066478,0.2861,0.0149,0.0448,1.0,False
